,Poverty exposure bias,,,,Increase in exposure,
,,,,,of all households ,
,Floods,,Droughts,,Floods,Droughts
Country,Nation-wide,urban,Nation-wide,urban,Nation-wide,
ALBANIA,-0.1,0.56,NA,NA,9.11,0
ANGOLA,1.82,2.37,0.67,1.74,0.35,0
BANGLADESH,0.02,0,1.61,NA,39.55,0
BENIN,0.84,-0.24,1.57,2.61,3.42,-17.08
BOLIVIA,-0.08,0.39,-0.32,-0.4,-10.67,938.85
BURKINA FASO,-0.3,0.32,-0.01,-0.3,56,-1.18
BURUNDI,NA,NA,NA,NA,19.07,0
CAMBODIA,-0.25,0.02,0.15,NA,18.83,0
CAMEROON,0.38,0.45,2.21,2.51,2.17,-9.45
CENTRAL AFRICAN REPUBLIC,0.18,0.81,NA,NA,-8.02,-38.67
COLOMBIA,1.19,1.9,2.46,2.8,9.65,0
COMOROS,NA,NA,NA,NA,0,0
COTE D'IVOIRE,-0.02,0.36,NA,NA,-0.96,0
"CONGO, DEM. REP.",-0.09,1.83,0.42,1.76,3,0
DOMINICAN REPUBLIC,-0.4,-0.09,NA,NA,-27.87,0
"EGYPT, ARAB REP.",0.58,0.55,0.03,0.22,42.92,-4.3
ETHIOPIA,-0.33,-0.85,0.67,NA,12.41,-47.23
GABON,0.72,1.25,NA,NA,-3.05,0
GHANA,0.23,-0.39,1.15,1.8,-10.28,51.57
GUINEA,1.12,2.05,NA,NA,10.11,0
GUYANA,0.42,-0.05,2.6,NA,-23.23,0
HAITI,-0.48,3.52,NA,NA,-28.02,0
HONDURAS,-0.66,-0.31,0.51,0.76,-11.8,7.34
INDONESIA,0.33,1.03,0.49,0.33,9.89,-38.39
JORDAN,1.55,2.08,0.15,-0.25,-51.7,278.59
KENYA,0.64,1.56,2.92,NA,12.88,-21.93
KYRGYZSTAN,0.17,1.15,1.45,NA,13.21,0
LESOTHO,-0.11,1.55,0.7,0.82,0.94,0
LIBERIA,-0.43,-0.69,NA,NA,7.71,0
MADAGASCAR,-0.16,-0.6,2.28,NA,6.51,0
MALAWI,0.1,-0.68,-0.4,NA,-1.47,0
MALI,-0.39,-0.36,-0.03,0.22,37.42,55.27
"MOLDOVA, REPUBLIC OF",-0.52,-0.03,NA,NA,-31.39,0
MOROCCO,-0.24,0.25,-0.08,0.44,-70.26,1122.62
MOZAMBIQUE,-0.27,-0.08,-0.28,0.86,3.57,0
NAMIBIA,0.35,0.19,-0.99,-0.6,-12.3,41.21
NEPAL,-0.61,0.59,NA,NA,14.84,0
NIGER,-0.39,0.29,-0.22,-0.07,90.28,271.4
NIGERIA,0.52,1.06,1.28,0.5,17.37,355.44
PERU,-0.49,0.17,-0.72,-0.62,20.97,2.39
PHILIPPINES,-0.12,0.18,0.84,1.2,10.45,0
RWANDA,-0.78,-1,NA,NA,13.04,0
SENEGAL,-0.25,1.78,1.99,1.81,-5.42,0
SIERRA LEONE,0.69,2.63,NA,NA,13.38,0
SWAZILAND,0.13,-0.66,NA,NA,-7.92,0
TAJIKISTAN,-0.16,0.11,1.05,NA,-8.91,0
"TANZANIA, UNITED REP.",-0.1,0.01,-0.58,-0.01,1.03,0
TIMOR-LESTE,NA,NA,NA,NA,-12.34,0
TOGO,0.21,0.13,0.72,1.47,2.01,356.18
UGANDA,0.65,NA,3.09,1.52,31.7,-11.22
ZAMBIA,0.68,3.4,1.25,-0.13,3.31,0
ZIMBABWE,-1,-0.31,0.49,NA,-1.92,0
