cc,social_p,social_r,eusilc,aspire
AT,0.51716638,0.40816435,1,0
BE,0.65117317,0.402522585,1,0
BG,0.66309464,0.404462695,1,0
CH,0.47970301,0.305041573,1,0
CY,0.47965103,0.33355333,1,0
CZ,0.40579885,0.450117368,1,0
DE,0.64378774,0.383320503,1,0
DK,0.67680752,0.353511483,1,0
EE,0.51851898,0.34896655,1,0
EL,0.38459209,0.496522668,1,0
ES,0.52520472,0.428425678,1,0
FI,0.57169229,0.335617398,1,0
FR,0.49639142,0.37605085,1,0
IE,0.78696066,0.483332488,1,0
IS,0.31120709,0.245566038,1,0
IT,0.43236375,0.413812555,1,0
LU,0.45704362,0.381614118,1,0
MT,0.55387408,0.357368205,1,0
NL,0.4378458,0.331487095,1,0
NO,0.43995509,0.302408168,1,0
PT,0.56606269,0.45483133,1,0
SE,0.45691392,0.347844955,1,0
SI,0.62540764,0.33581189,1,0
SK,0.43040267,0.389464188,1,0
UK,0.68410164,0.414240288,1,0
HR,0.549424,0.270493,0,1
HU,0.912333,0.525706,0,1
LV,0.616317,0.230291,0,1
LT,0.810897,0.314705,0,1
PL,0.593962,0.488281,0,1
RO,0.563182,0.409705,0,1
US,0.63,0.09,0,0
CA,0.631,0.140,0,0
AU,0.578,0.126,0,0

