place,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,pe,peref,pi,plgp,pop,pov_head,protection,protectionref,pv,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,risk,risk_to_assets,share1,share1_ref,share_nat_income,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew
Mumbai,0.68,1.5,40.0,1.0,0.3065,0.34,0.33,0.875,11916.657792,35201.540735999995,235243.35085393742,1878.099101878082,34557023474.55671,4.000743838783025e-08,7.585828429856889e-06,6.967170832039571e-06,2860.9801718,6.352652119456792e-06,5.262847188816112e-05,2878.9979202615477,0.228,0.38988,0.17404,0.228,29380.32,1.5,0.0002763767039733536,0.19042296666666667,MUM,1.1252958466335783,0.71,0.71,0.2,0.6137311,18400000.0,0.25,1,1,0.319913199,0.6523447233707841,0.6564530297658324,0.5497379448304266,0.5985525303453709,0.0979906930986983,0.06392371158238175,0.1014,0.1014,0.25,0.07,0.11800000000000001,0.096,0.1,0.1,0.20619999999999994,0.1864,52973561732.81248,52642035161.119995,331526571.6924839,0.06,0.1,0.1319913199,0.09191303465350674,0.09191303465350674,0.1
fa_.95,,,,,,,,,11916.657792,35201.540735999995,235243.35085393742,1784.1941467841773,32829172300.82886,3.800706646843873e-08,7.206537008253022e-06,6.6187465628253506e-06,2717.8775562,6.034900482010386e-06,4.999704829375306e-05,2734.9944172384703,0.2166,0.370386,0.16533799999999998,0.2166,,,0.00026255786877468594,0.19042296666666667,,1.1252958466335783,,0.71,,,,,1,1,,0.652357509594364,0.6564659775471078,0.5497379448388956,0.598558474284793,0.09308933385471875,0.06072752600326264,,0.1014,,,,,,,0.20619999999999994,0.1864,50323897277.18785,50008947034.079994,314950243.1078596,,,0.1319913199,0.09191303465350673,0.09191303465350673,0.1
v_.95,,,,,,,,,11916.657792,35201.540735999995,235243.35085393742,1784.1941467841777,32829172300.82887,3.336882520269309e-08,7.200569619225661e-06,6.613929144361208e-06,2716.1724036,6.031114282656347e-06,4.389559416668612e-05,2731.200386474864,,0.38988,0.17404,0.228,,,0.0002305162813870287,0.19042296666666667,,1.1252958466335783,,0.71,,,,,1,1,,0.6532637281466634,0.6568780922814091,0.5501935338205225,0.5989944491165385,0.09296019874783065,0.06072752600326265,,0.1014,,,,,,,0.20619999999999994,0.1864,50254087111.1375,49977572226.240005,276514884.8974973,,0.095,0.125391753905,0.08731738292083141,0.08731738292083141,0.095
double_sigma,,,,,,,,,11916.657792,35201.540735999995,235243.35085393742,1878.099101878082,34557023474.55671,2.437807091610623e-08,7.585828429856889e-06,6.967170832039571e-06,2585.2608385,5.740432215128877e-06,3.206855203921682e-05,2596.2397456093786,,0.38988,0.17404,0.228,,,0.00016840695531937841,0.19042296666666667,,1.1252958466335783,,0.71,,,,,1,1,,0.7233920153384226,0.7264640665689185,0.5497379448304266,0.5985525303453709,0.08836662587777733,0.06392371158238175,,0.1014,,,0.23600000000000002,0.192,,,0.3124,0.27279999999999993,47770811319.21256,47568799428.399994,202011890.81256905,,,0.1319913199,0.09191303465350674,0.09191303465350674,0.1
rebuild_one_third,,1.0,,,,,,,11916.657792,35201.540735999995,235243.35085393742,1878.099101878082,34557023474.55671,4.000743838783025e-08,7.304483018000241e-06,6.70921306999972e-06,2755.2356563,6.1178521277849285e-06,5.262847188816112e-05,2773.2534047615477,,0.38988,0.17404,0.228,,,0.0002763767039733536,0.19042296666666667,,1.084216200559446,,0.71,,,,,1,1,,0.6772187131019014,0.6816473565822595,0.5709120988561672,0.6215658509211606,0.09439153163619551,0.06392371158238175,,0.1014,,,,,,,0.20619999999999994,0.1864,51027862647.61248,50696336075.92,331526571.69248396,,,0.1319913199,0.09191303465350674,0.09191303465350674,0.1
double_social,,,,,,,,,11916.657792,35201.540735999995,235243.35085393742,1878.099101878082,34557023474.55671,2.625727602457484e-08,7.585828429856889e-06,6.350778364305754e-06,2614.9888044,5.80644155956378e-06,3.454058467135887e-05,2626.8140302520037,,0.38988,0.17404,0.228,,,0.0001813887540772421,0.19042296666666667,,1.1252958466335783,,0.71,,,,,1,1,,0.7149722364235683,0.7182054082671322,0.5497379448304266,0.65664671189035,0.08940726412278709,0.06392371158238175,,0.1014,,,,,0.2,0.2,0.2944,0.27679999999999993,48333378156.63687,48115794000.96,217584155.6768727,,,0.1319913199,0.09191303465350674,0.09191303465350674,0.1
halve_pv,,,,,,,,,11916.657792,35201.540735999995,235243.35085393742,1878.0991018780817,34557023474.5567,2.897283360418994e-08,7.097494854502173e-06,6.5358158287676105e-06,2694.6090449,5.9832340080223645e-06,3.811281152462647e-05,2707.6572491623697,,0.38988,0.17404,0.228,,,0.00020014818691141666,0.19042296666666667,,1.1252958466335783,,0.71,,,,,1,1,0.1599566,0.6936251264664621,0.6969838928703588,0.5875619237991334,0.6380561876469033,0.09215887536835439,0.06392371158238173,,0.1014,,,,,,,0.20619999999999994,0.1864,49820893384.5876,49580806426.159996,240086958.42760283,,,0.11599566000000001,0.09595651731411405,0.09595651731411405,0.1
double_banks,,,,,,0.68,0.66,,11916.657792,35201.540735999995,235243.35085393742,1878.099101878082,34557023474.55671,1.9539651655800883e-08,7.585828429856889e-06,6.967170832039571e-06,2860.9801718,6.352652119456792e-06,2.570377033148381e-05,2869.7800485916014,,0.38988,0.17404,0.228,,,0.00013498251172862978,0.19042296666666667,,1.1252958466335783,,0.71,,,,,1,1,,0.6544400860267303,0.6564530297658324,0.5497379448304266,0.5985525303453709,0.09767695003293365,0.06392371158238175,,0.1014,,,,,,,0.20619999999999994,0.1864,52803952894.085464,52642035161.11999,161917732.96546602,,,0.1319913199,0.09191303465350674,0.09191303465350674,0.1
share1_ten_percent,,,,,,,,,13108.323571200002,34804.3188096,235243.35085393742,1899.078640359528,34943046982.61532,3.6563242424475704e-08,7.344836929545906e-06,6.745644505645743e-06,2770.400879,6.151525686615145e-06,4.8097745159857006e-05,2786.8674994958324,,0.38988,0.17404,0.228,,,0.00025258374030088284,0.19042296666666667,,1.1252958466335783,,0.71,,,,,1,1,,0.6814384396470543,0.6854887517379855,0.5741178061066461,0.6251147181967169,0.09485490626023925,0.06463777931484505,0.11154000000000001,0.11154000000000001,,,,,,,0.20619999999999994,0.1864,51278361990.72331,50975376173.6,302985817.1233196,,,0.1319913199,0.09100281186953296,0.09100281186953296,0.1
